X,Y,full_id,osm_id,osm_type,addr_city,addr_house,addr_postc,addr_stree,building,building_l,email,internet_a,name,operator,payment_ca,payment_cr,payment_de,payment_vi,tourism,type,website,addr_count,residentia,year,addr_hou_1,building_c,building_u,landuse,building_m,roof_colou,roof_mater,amenity,branch,fax,phone,short_name,social_fac,access,bicycle_pa,building_1,layer,level,parking,parking_co,parking_la,surface,height,social_f_1,addr_neigh,addr_place,postal_cod,roof_shape,building_2,roof_level,roof_orien,building_p,addr_subur,ref,commercial,image,mapillary,history,old_name,wheelchair,shop,building_3,leisure,architect,year_of_co,religion,wikidata,denominati,historic,roof_direc,descriptio,check_date,resi,contact_fa,covered,power,sports,sport,addr_name,shelter_ty,full_id_2,osm_id_2,osm_type_2,addr_city_,addr_cou_1,addr_hou_2,addr_pos_1,addr_str_1,building_4,building_5,resident_1,type_2,year_2,addr_hou_3,height_2,addr_regio,descript_1,landuse_2,name_2,constructi,addr_pla_1,building_6,building_7,place,addr_nei_1,roof_lev_1,roof_mat_1,roof_ori_1,roof_sha_1,roof_col_1,building_8,amenity_2,parking_2,commerci_1,image_2,mapillary_,history_2,designatio,layer_2,building_9,shop_2,building10,wikidata_2,operator_2,building11,developer,phone_2,website_2,alt_name,wheelcha_1,roof_dir_1,natural,contact__1,power_2,old_name_2,ID
103.717889177393,1.3459989496465,r10345151,"10345151",relation,Singapore,"520","640520",Jurong West Street 52,residential,,,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r10345151,"10345151",relation,Singapore,SG,"520","640520",Jurong West Street 52,residential,,HDB,multipolygon,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32"
103.882183580049,1.32360532784842,w44348638,"44348638",way,Singapore,"126","380126",Aljunied Road,residential,"20",,,,,,,,,,,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w44348638,"44348638",way,Singapore,SG,"126","380126",Aljunied Road,residential,"20",HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33"
103.769575978282,1.30396223911092,w44628861,"44628861",way,Singapore,"611","120611",Clementi West Street 1,residential,"9",,,,,,,,,,,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w44628861,"44628861",way,Singapore,SG,"611","120611",Clementi West Street 1,residential,"9",HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34"
103.769575978282,1.30396223911092,w44628861,"44628861",way,Singapore,"611","120611",Clementi West Street 1,residential,"9",,,,,,,,,,,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w713272231,"713272231",way,,,,,,,,HDB,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35"
103.768854292147,1.30478485508421,w44628864,"44628864",way,Singapore,"610","120610",Clementi West Street 1,residential,"12",,,,,,,,,,,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w44628864,"44628864",way,Singapore,SG,"610","120610",Clementi West Street 1,residential,"12",HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36"
103.768854143814,1.3047848210283,w44628864,"44628864",way,Singapore,"610","120610",Clementi West Street 1,residential,"12",,,,,,,,,,,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w713272233,"713272233",way,,,,,,,,HDB,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37"
103.928127032671,1.32691558603224,w46820920,"46820920",way,Singapore,"419","460419",Bedok North Avenue 1,residential,"12",,,,,,,,,,,,SG,HDB,,,#B8C1CE,,,concrete,,,,,,,,,,,,,,,,,,,,,Garden Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w46820920,"46820920",way,Singapore,SG,"419","460419",Bedok North Avenue 1,residential,"12",HDB,,,,,,,,,,Garden Hill,#B8C1CE,concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38"
103.928127032671,1.32691558603224,w46820920,"46820920",way,Singapore,"419","460419",Bedok North Avenue 1,residential,"12",,,,,,,,,,,,SG,HDB,,,#B8C1CE,,,concrete,,,,,,,,,,,,,,,,,,,,,Garden Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w174072816,"174072816",way,,,,,,,,HDB,,,,,,,residential,Garden Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39"
103.928856330797,1.32766939255035,w46820966,"46820966",way,Singapore,"420","460420",Bedok North Avenue 1,residential,"12",,,,,,,,,,,,SG,HDB,,,#B8C1CE,,,concrete,,,,,,,,,,,,,,,,,,,,,Garden Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w174072816,"174072816",way,,,,,,,,HDB,,,,,,,residential,Garden Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40"
103.928856330797,1.32766939255035,w46820966,"46820966",way,Singapore,"420","460420",Bedok North Avenue 1,residential,"12",,,,,,,,,,,,SG,HDB,,,#B8C1CE,,,concrete,,,,,,,,,,,,,,,,,,,,,Garden Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w46820966,"46820966",way,Singapore,SG,"420","460420",Bedok North Avenue 1,residential,"12",HDB,,,,,,,,,,Garden Hill,#B8C1CE,concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41"
